,station_id,lat,lng,address,trips_2010,trips_2011,trips_2012,trips_2013,trips_2014,trips_2015,trips_2016,trips_2017,trips_2018,trips_2019
0,31000,38.858971000000004,-77.05323,Eads St & 15th St S,185,1171,1353,1128,1247,1891,1883,2529,2472,1563
1,31001,38.85725,-77.05332,18th St & S Eads St,372,3492,3393,2345,2180,2768,2233,2428,2441,1993
2,31002,38.856425,-77.04923199999999,Crystal Dr & 20th St S,362,2883,4210,4625,4672,5127,6208,7060,6469,5451
3,31003,38.860170000000004,-77.049593,Crystal Dr & 15th St S,463,3432,2443,2892,4218,4937,5304,5516,4794,4338
4,31004,38.85787966666667,-77.05950516666667,Aurora Hills Cmty Ctr / 18th St & S Hayes St,234,1598,1623,1626,2536,2837,3222,2770,2614,2127
5,31005,38.862303000000004,-77.059936,Pentagon City Metro / 12th St & S Hayes St,176,1644,1599,3424,6003,7228,7221,7913,7264,5806
6,31006,38.86338883333333,-77.06339466666667,Army Navy Dr & S Joyce St,463,2869,3185,3367,4047,4127,3983,3914,3447,3164
7,31007,38.857403999999995,-77.05113100000001,Crystal City Metro / 18th St & S Bell St,1233,10089,10672,10516,11139,9938,7738,9586,8861,10437
8,31009,38.848465999999995,-77.051514,Crystal Dr & 27th St S,505,4600,4748,4523,5435,5674,4805,4957,3514,2427
9,31010,38.8426,-77.0502,S Glebe Rd & Potomac Ave,523,3855,3703,3558,4056,3944,3768,3635,3027,3069
10,31011,38.8533,-77.0498,Crystal Dr & 23rd St S,564,3830,3509,3980,4703,4707,6094,5923,5314,4690
11,31012,38.85068583333333,-77.05150783333333,Clark St & 26th St S,197,2111,2353,2229,1715,2026,2313,2373,2285,2468
12,31013,38.854380515177496,-77.05341160297394,Eads St & 22nd St S,327,2274,2333,2179,2302,2636,2479,2798,2798,2876
13,31014,38.89749416666667,-77.07064100000001,Lynn St & 19th St North,0,5849,10956,11965,12015,14402,14652,15098,12574,10456
14,31015,38.894479833333335,-77.071887,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,0,3082,6835,7728,7459,7392,6420,6544,5363,4288
15,31016,38.89343383333333,-77.07636183333334,Clarendon Blvd & Pierce St,0,1766,2978,3686,4229,4554,5570,6384,5140,4887
16,31017,38.891696,-77.0846,Wilson Blvd & N Uhle St,0,311,6928,9656,9080,6478,5841,4844,4117,4233
17,31018,38.892164,-77.079375,Rhodes St & 16th St N,0,2797,2656,2907,2495,2979,2581,2721,2350,2451
18,31019,38.889,-77.0925,Wilson Blvd & N Edgewood St,0,150,2575,3114,3340,3225,3192,3844,3254,2554
19,31020,38.8904,-77.0889,Wilson Blvd & N Franklin Rd,0,86,3286,4106,4499,3883,3938,3835,3579,2612
20,31021,38.8881,-77.09308,Clarendon Blvd & N Fillmore St,0,66,2808,3461,3370,4374,4306,5029,4476,4113
21,31022,38.887859999999996,-77.094875,Clarendon Metro / Wilson Blvd & N Highland St,0,114,4251,5042,5796,6807,6719,6823,6440,5521
22,31023,38.885801,-77.09774499999999,Fairfax Dr & Wilson Blvd,0,0,2812,3555,3649,4465,4163,4239,3634,3098
23,31024,38.882788,-77.103148,Virginia Square Metro / Monroe St & 9th St N,0,0,4330,5698,6765,6702,6374,8128,6603,5673
24,31025,38.88397,-77.10783,Central Library / Quincy St & 10th St N,0,0,2122,2325,2635,2949,3068,3103,2221,1877
25,31026,38.884734,-77.093485,Washington Blvd & 10th St N,0,0,1047,1886,2679,3380,3326,3568,3186,3155
26,31027,38.89629933333333,-77.07852283333334,Key Blvd & N Quinn St,0,0,1696,2247,2351,2307,2864,2649,1855,1505
27,31028,38.893237,-77.086063,N Veitch St & Key Blvd,0,0,1887,3079,3200,3118,2924,2279,2054,2016
28,31029,38.896923,-77.086502,N Veitch St & 20th St N,0,0,1966,3529,3431,3418,4255,4051,3883,3452
29,31030,38.89593,-77.08900600000001,Lee Hwy & N Adams St,0,0,3291,5481,5760,4917,4588,4453,4715,3951
30,31031,38.89054,-77.08095,15th St & N Scott St,0,0,2248,3531,3507,3527,3583,3842,3505,2826
31,31032,38.8808075,-77.09073266666667,Washington Blvd & 7th St N,0,0,788,1041,1138,1361,1188,1457,1245,1198
32,31033,38.850336,-77.100988,Barcroft Community Center,0,0,1848,2108,1815,2409,2118,982,762,834
33,31034,38.882629,-77.10936600000001,Fairfax Dr & N Randolph St,0,0,1928,2837,3361,3913,3958,3825,2917,2713
34,31035,38.87639516666667,-77.10773533333334,N Quincy St & Glebe Rd,0,0,2066,3242,2681,3271,2927,2767,2911,2531
35,31036,38.87886533333333,-77.12059483333333,George Mason Dr & Wilson Blvd,0,0,1462,2148,2268,2352,2329,2681,1950,1741
36,31037,38.881044,-77.11176800000001,Ballston Metro / Stuart St & 9th St N,0,0,3749,6090,6391,7365,8461,9813,8306,8643
37,31038,38.883921,-77.116817,Glebe Rd & 11th St N,0,0,1204,2295,1947,1999,1826,2637,2333,1632
38,31039,38.879884999999994,-77.10789150000001,Wilson Blvd & N Quincy St,0,0,1831,3711,4700,4999,4578,5783,5130,4140
39,31040,38.884615999999994,-77.10108000000001,GMU / Fairfax Dr & Kenmore St,0,0,858,1664,2370,2925,2708,3164,2282,2037
40,31041,38.803124,-77.040363,Prince St & Union St,0,0,623,2193,2783,2993,2873,3991,3183,3332
41,31042,38.804718,-77.043363,Market Square / King St & Royal St,0,0,793,3394,3576,4656,5316,6242,5639,4866
42,31043,38.810741,-77.044632,St Asaph & Pendleton St,0,0,744,2491,2600,2894,2105,2483,1969,1813
43,31044,38.805316999999995,-77.049883,King St & Patrick St,0,0,632,2616,2860,3035,2902,3284,2572,1845
44,31045,38.805648,-77.05293,Commerce St & Fayette St,0,0,376,1250,1561,2249,2267,2542,1856,1897
45,31046,38.811456,-77.050276,Henry St & Pendleton St,0,0,236,1223,1073,1471,1493,1787,1985,1538
46,31047,38.814577,-77.052808,Braddock Rd Metro,0,0,1048,3369,4959,7785,9186,11314,9664,7267
47,31048,38.80576284873485,-77.060626745224,King St Metro South,0,0,1428,5781,6148,6146,4396,4714,3903,2392
48,31049,38.883669,-77.113905,Utah St & 11th St N,0,0,727,1806,1768,2092,2634,3181,2144,2107
49,31050,38.884961,-77.08776999999999,Barton St & 10th St N,0,0,571,1851,2002,2358,2402,2161,1907,1468
50,31051,38.889365000000005,-77.077294,Arlington Blvd & N Queen St,0,0,497,2287,2285,2383,2347,2433,2221,2220
51,31052,38.84401133333333,-77.05048383333333,Potomac Ave & 35th St S,0,1,129,1560,1793,2304,2023,2467,2643,2441
52,31053,38.863833,-77.08031899999999,Columbia Pike & S Courthouse Rd,0,0,0,1408,1747,1857,1861,2181,2025,1540
53,31054,38.847129045742605,-77.1125502884388,Wakefield High School,0,0,0,352,367,539,440,447,276,380
54,31055,38.846222,-77.069275,28th St & S Meade St,0,0,0,744,912,1193,1203,1310,1398,1442
55,31056,38.8480035,-77.0751585,Troy St & 26th St S,0,0,0,498,755,999,1164,1323,1317,1134
56,31057,38.8443895,-77.08590983333333,Four Mile Run Dr & S Shirlington Rd,0,0,0,731,1008,987,989,1029,909,1024
57,31058,38.8607365,-77.0958725,Columbia Pike & S Oakland St,0,0,0,159,223,225,310,313,332,415
58,31059,38.847359999999995,-77.095431,Four Mile Run Dr & S Walter Reed Dr,0,0,0,297,116,591,1335,1449,1111,1257
59,31060,38.84232,-77.089555,S Arlington Mill Dr & Campbell Ave,0,0,0,1561,1945,2310,1814,2515,2335,2431
60,31061,38.8484575,-77.08486033333334,Kenmore St & 24th St S,0,0,0,137,202,224,269,442,356,345
61,31062,38.896571,-77.06714283333334,Roosevelt Island,0,0,0,110,86,249,212,199,2519,6239
62,31063,38.85227783333333,-77.10501933333333,S George Mason & Four Mile Run Dr,0,0,0,478,736,792,790,1009,758,672
63,31064,38.865029,-77.039511,Gravelly Point,0,0,0,177,327,412,280,306,432,11440
64,31065,38.880705,-77.08596,Pershing Dr & Wayne St,0,0,0,834,2045,2994,3231,2677,2526,1903
65,31066,38.867262,-77.072315,Columbia Pike & S Orme St,0,0,0,449,1126,1557,1857,2266,1789,1598
66,31067,38.862478,-77.08659899999999,Columbia Pike & S Walter Reed Dr,0,0,0,348,1484,1713,1648,1806,1561,1568
67,31068,38.856319,-77.11153,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,0,0,0,124,644,691,829,1658,1406,1433
68,31069,38.871821999999995,-77.107906,Pershing Dr & N George Mason Dr,0,0,0,774,2667,2489,2241,3283,2980,2170
69,31070,38.873754999999996,-77.089233,Arlington Blvd & Fillmore St,0,0,0,83,827,1316,1582,1728,1636,1520
70,31071,38.862660833333344,-77.05446583333334,Eads St & 12th St S,0,0,0,37,910,942,1060,1202,1120,6517
71,31072,38.837666,-77.09482,31st St & S Woodrow St,0,0,0,11,394,332,492,487,425,485
72,31073,38.873219,-77.082104,Washington Blvd & Walter Reed Dr ,0,0,0,20,942,1351,1434,1707,1435,1480
73,31074,38.869460333333336,-77.09564366666666,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,0,0,0,16,1119,1202,1293,1469,1531,1586
74,31075,38.866471000000004,-77.076131,Rolfe St & 9th St S,0,0,0,0,401,452,618,654,777,1015
75,31076,38.839920500000005,-77.08720516666666,Shirlington Transit Center / Quincy St & Randolph St,0,0,0,0,414,696,785,866,668,756
76,31077,38.8899305,-77.0713145,Iwo Jima Memorial / Meade & 14th St N,0,0,0,0,4541,8675,9858,10474,9000,7761
77,31078,38.869442,-77.10450300000001,Arlington Blvd & S George Mason Dr,0,0,0,0,839,1732,1372,1439,1468,1612
78,31079,38.894940999999996,-77.09169,Lee Hwy & N Cleveland St,0,0,0,0,1122,2925,3433,3326,2527,2801
79,31080,38.8976545,-77.08086833333333,Lee Hwy & N Scott St,0,0,0,0,1453,3967,4376,4256,4178,4434
80,31081,38.804378,-77.060866,Duke St & John Carlyle St,0,0,0,0,356,1199,1671,2562,2377,1920
81,31082,38.801204666666656,-77.06895066666667,Eisenhower Ave & Mill Race Ln,0,0,0,0,300,997,1090,2074,1949,1500
82,31083,38.82175,-77.047494,Potomac Greens Dr & Slaters Ln,0,0,0,0,648,2073,2185,2994,2560,1799
83,31084,38.802677,-77.063562,Ballenger Ave & Dulaney St,0,0,0,0,1121,3317,3309,3414,2796,2506
84,31085,38.820064,-77.05761899999999,Mount Vernon Ave & E Nelson Ave,0,0,0,0,727,1716,2145,1872,1267,1289
85,31086,38.82595,-77.058541,Mount Vernon Ave & E Del Ray Ave,0,0,0,0,714,2361,2489,1999,1823,1514
86,31087,38.820925333333335,-77.05304166666667,Monroe Ave & Leslie Ave,0,0,0,0,553,1993,1850,2139,2205,1272
87,31088,38.83307083333333,-77.05965033333334,Mount Vernon Ave & Kennedy St,0,0,0,0,452,1395,1714,2168,2008,1672
88,31089,38.89052933333333,-77.08479466666667,Court House Metro / 15th St & N Uhle St,0,0,0,0,2429,9301,10504,10668,9053,8775
89,31090,38.86545916666667,-77.05001866666667,Long Bridge Park / Long Bridge Dr & 6th St S,0,0,0,0,206,898,887,1190,1038,1266
90,31091,38.859182333333344,-77.06322466666667,Joyce St & 16th St S,0,0,0,0,178,2220,2780,2855,2900,2644
91,31092,38.896456,-77.104562,Lee Hwy & N Monroe St,0,0,0,0,27,1012,1157,963,835,1062
92,31093,38.8989985,-77.07831083333333,21st St & N Pierce St,0,0,0,0,92,1985,2934,3180,2628,2217
93,31094,38.89534583333333,-77.09731816666667,Lee Hwy & N Kirkwood Rd,0,0,0,0,0,844,1130,1189,781,592
94,31095,38.86239866666666,-77.06819083333333,Army Navy Dr & S Nash St,0,0,0,0,0,662,830,631,769,639
95,31096,38.86612,-77.08787,Walter Reed Dr & 8th St S,0,0,0,0,0,608,752,833,789,962
96,31097,38.812718,-77.044097,Saint Asaph St & Madison St,0,0,0,0,0,0,3018,3281,2559,2322
97,31098,38.80692716666667,-77.05965083333334,King St Metro North / Cameron St,0,0,0,0,0,0,2667,4514,4724,4188
98,31099,38.813485,-77.049468,Madison St & N Henry St,0,0,0,0,0,0,1476,1927,1709,1602
99,31100,38.9003,-77.0429,19th St & Pennsylvania Ave NW,1758,14118,13008,12665,12031,10173,9550,9229,8561,6930
100,31101,38.917764,-77.032096,14th & V St NW,3667,25222,33134,32495,32958,35691,35117,33159,28661,26602
101,31102,38.929464,-77.027822,11th & Kenyon St NW,1120,13364,18377,19328,19649,19430,18367,16915,14415,13700
