,datetimeepoch,temp,feelslike,humidity,dew,precip,windspeed,visibilty,cloudcover,conditions,date,hr,datetime,instant,dteday,season,yr,mnth,hr-2,holiday,weekday,workingday,weathersit,temp-2,atemp,hum,windspeed-2,casual,registered,cnt,datetime-2
0,1293858000,37.5,37.5,79.61,31.8,0.0,0.4,9.9,0.0,Clear,20110101,0,201101010,1,20110101,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,201101010
1,1293861600,35.2,35.2,82.44,30.4,0.0,0.4,8.8,0.0,Clear,20110101,1,201101011,2,20110101,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,201101011
2,1293865200,35.6,35.6,81.31,30.4,0.0,0.6,8.3,0.0,Clear,20110101,2,201101012,3,20110101,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,201101012
3,1293868800,36.9,36.9,77.58,30.5,0.0,0.4,8.3,24.4,Partially cloudy,20110101,3,201101013,4,20110101,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,201101013
4,1293872400,35.7,35.7,80.41,30.3,0.0,0.6,8.3,20.8,Partially cloudy,20110101,4,201101014,5,20110101,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,201101014
5,1293876000,37.1,34.5,76.23,30.3,0.0,3.5,8.3,89.1,Partially cloudy,20110101,5,201101015,6,20110101,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,201101015
6,1293879600,35.8,35.8,80.85,30.5,0.0,0.5,8.3,79.3,Partially cloudy,20110101,6,201101016,7,20110101,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,201101016
7,1293883200,34.2,34.2,86.08,30.5,0.0,0.5,7.2,44.6,Partially cloudy,20110101,7,201101017,8,20110101,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,201101017
8,1293886800,37.4,37.4,77.74,31.1,0.0,0.7,8.3,80.3,Partially cloudy,20110101,8,201101018,9,20110101,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,201101018
9,1293890400,44.5,44.5,78.1,38.1,0.0,1.0,8.3,44.6,Partially cloudy,20110101,9,201101019,10,20110101,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,201101019
10,1293894000,50.1,50.1,75.47,42.7,0.0,10.5,9.9,86.1,Partially cloudy,20110101,10,2011010110,11,20110101,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,2011010110
11,1293897600,49.0,44.3,79.58,42.9,0.0,11.4,9.9,84.7,Partially cloudy,20110101,11,2011010111,12,20110101,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,2011010111
12,1293901200,53.6,53.6,77.4,46.7,0.0,11.6,9.9,89.3,Partially cloudy,20110101,12,2011010112,13,20110101,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,2011010112
13,1293904800,55.8,55.8,76.98,48.7,0.0,12.6,9.9,88.3,Partially cloudy,20110101,13,2011010113,14,20110101,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,2011010113
14,1293908400,57.4,57.4,72.4,48.6,0.0,11.5,9.9,91.1,Overcast,20110101,14,2011010114,15,20110101,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,2011010114
15,1293912000,55.4,55.4,76.96,48.3,0.0,12.8,9.9,93.8,Overcast,20110101,15,2011010115,16,20110101,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,2011010115
16,1293915600,53.7,53.7,82.22,48.4,0.0,12.6,9.9,94.3,Overcast,20110101,16,2011010116,17,20110101,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,2011010116
17,1293919200,55.4,55.4,82.57,50.2,0.0,11.0,9.9,98.8,Overcast,20110101,17,2011010117,18,20110101,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,2011010117
18,1293922800,52.3,52.3,87.79,48.8,0.0,11.0,8.8,100.0,Overcast,20110101,18,2011010118,19,20110101,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,2011010118
19,1293926400,53.4,53.4,89.31,50.3,0.01,9.8,9.9,98.8,"Rain, Overcast",20110102,19,2011010219,43,20110102,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,2011010219
20,1293930000,53.8,53.8,92.41,51.6,0.0,10.1,9.9,94.3,Overcast,20110102,20,2011010220,44,20110102,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,2011010220
