,datetimeepoch,date,datetime,hr,season,temp,feelslike,humidity,dew,precip,windspeed,visibilty,cloudcover,conditions,mnth,cnt
0,1293858000,20110101,201101010,0,1,37.5,37.5,79.61,31.8,0.0,0.4,9.9,0.0,Clear,1,16
1,1293861600,20110101,201101011,1,1,35.2,35.2,82.44,30.4,0.0,0.4,8.8,0.0,Clear,1,40
2,1293865200,20110101,201101012,2,1,35.6,35.6,81.31,30.4,0.0,0.6,8.3,0.0,Clear,1,32
3,1293868800,20110101,201101013,3,1,36.9,36.9,77.58,30.5,0.0,0.4,8.3,24.4,Partially cloudy,1,13
4,1293872400,20110101,201101014,4,1,35.7,35.7,80.41,30.3,0.0,0.6,8.3,20.8,Partially cloudy,1,1
5,1293876000,20110101,201101015,5,1,37.1,34.5,76.23,30.3,0.0,3.5,8.3,89.1,Partially cloudy,1,1
6,1293879600,20110101,201101016,6,1,35.8,35.8,80.85,30.5,0.0,0.5,8.3,79.3,Partially cloudy,1,2
7,1293883200,20110101,201101017,7,1,34.2,34.2,86.08,30.5,0.0,0.5,7.2,44.6,Partially cloudy,1,3
8,1293886800,20110101,201101018,8,1,37.4,37.4,77.74,31.1,0.0,0.7,8.3,80.3,Partially cloudy,1,8
9,1293890400,20110101,201101019,9,1,44.5,44.5,78.1,38.1,0.0,1.0,8.3,44.6,Partially cloudy,1,14
10,1293894000,20110101,2011010110,10,1,50.1,50.1,75.47,42.7,0.0,10.5,9.9,86.1,Partially cloudy,1,36
11,1293897600,20110101,2011010111,11,1,49.0,44.3,79.58,42.9,0.0,11.4,9.9,84.7,Partially cloudy,1,56
12,1293901200,20110101,2011010112,12,1,53.6,53.6,77.4,46.7,0.0,11.6,9.9,89.3,Partially cloudy,1,84
13,1293904800,20110101,2011010113,13,1,55.8,55.8,76.98,48.7,0.0,12.6,9.9,88.3,Partially cloudy,1,94
14,1293908400,20110101,2011010114,14,1,57.4,57.4,72.4,48.6,0.0,11.5,9.9,91.1,Overcast,1,106
15,1293912000,20110101,2011010115,15,1,55.4,55.4,76.96,48.3,0.0,12.8,9.9,93.8,Overcast,1,110
16,1293915600,20110101,2011010116,16,1,53.7,53.7,82.22,48.4,0.0,12.6,9.9,94.3,Overcast,1,93
17,1293919200,20110101,2011010117,17,1,55.4,55.4,82.57,50.2,0.0,11.0,9.9,98.8,Overcast,1,67
18,1293922800,20110101,2011010118,18,1,52.3,52.3,87.79,48.8,0.0,11.0,8.8,100.0,Overcast,1,35
19,1293926400,20110102,2011010219,19,1,53.4,53.4,89.31,50.3,0.01,9.8,9.9,98.8,"Rain, Overcast",1,30
20,1293930000,20110102,2011010220,20,1,53.8,53.8,92.41,51.6,0.0,10.1,9.9,94.3,Overcast,1,22
21,1293933600,20110102,2011010221,21,1,52.2,52.2,93.34,50.3,0.0,11.4,8.8,99.2,Overcast,1,31
22,1293937200,20110102,2011010222,22,1,52.4,52.4,93.56,50.6,0.0,9.3,6.6,99.2,Overcast,1,9
23,1293940800,20110102,2011010223,23,1,54.1,54.1,93.82,52.3,0.0,8.5,7.2,100.0,Overcast,1,8
24,1293944400,20110102,201101020,0,1,57.5,57.5,87.85,53.9,0.0,12.6,9.9,100.0,Overcast,1,17
25,1293948000,20110102,201101021,1,1,55.8,55.8,92.26,53.6,0.0,10.3,8.3,100.0,Overcast,1,17
26,1293951600,20110102,201101022,2,1,54.1,54.1,98.36,53.6,0.0,11.3,4.3,100.0,Overcast,1,9
27,1293955200,20110102,201101023,3,1,56.2,56.2,94.09,54.5,0.0,8.9,7.6,100.0,Overcast,1,6
