instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,datetime
1,20110101,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,3,13,16,201101010
2,20110101,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0,8,32,40,201101011
3,20110101,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0,5,27,32,201101012
4,20110101,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0,3,10,13,201101013
5,20110101,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0,0,1,1,201101014
6,20110101,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,201101015
7,20110101,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0,2,0,2,201101016
8,20110101,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0,1,2,3,201101017
9,20110101,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0,1,7,8,201101018
10,20110101,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0,8,6,14,201101019
11,20110101,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,2011010110
12,20110101,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,2011010111
13,20110101,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,2011010112
14,20110101,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,2011010113
15,20110101,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,2011010114
16,20110101,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,2011010115
17,20110101,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,2011010116
18,20110101,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,2011010117
19,20110101,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,2011010118
20,20110101,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,2011010119
21,20110101,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,2011010120
22,20110101,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,2011010121
23,20110101,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,2011010122
24,20110101,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,2011010123
25,20110102,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,201101020
26,20110102,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,201101021
27,20110102,1,0,1,2,0,0,0,2,0.42,0.4242,1,0.2836,1,8,9,201101022
28,20110102,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,201101023
29,20110102,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,201101024
30,20110102,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,201101026
31,20110102,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,201101027
32,20110102,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,201101028
33,20110102,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,201101029
34,20110102,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,2011010210
35,20110102,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,2011010211
36,20110102,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,2011010212
37,20110102,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,2011010213
38,20110102,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,2011010214
39,20110102,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,2011010215
40,20110102,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,2011010216
41,20110102,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,2011010217
42,20110102,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,2011010218
43,20110102,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,2011010219
