dteday,hr,temp,hum,cnt
1/1/2011,0,0.24,0.81,16
1/1/2011,1,0.22,0.8,40
1/1/2011,2,0.22,0.8,32
1/1/2011,3,0.24,0.75,13
1/1/2011,4,0.24,0.75,1
1/1/2011,5,0.24,0.75,1
1/1/2011,6,0.22,0.8,2
1/1/2011,7,0.2,0.86,3
1/1/2011,8,0.24,0.75,8
1/1/2011,9,0.32,0.76,14
1/1/2011,10,0.38,0.76,36
1/1/2011,11,0.36,0.81,56
1/1/2011,12,0.42,0.77,84
1/1/2011,13,0.46,0.72,94
1/1/2011,14,0.46,0.72,106
1/1/2011,15,0.44,0.77,110
1/1/2011,16,0.42,0.82,93
1/1/2011,17,0.44,0.82,67
1/1/2011,18,0.42,0.88,35
1/1/2011,19,0.42,0.88,37
1/1/2011,20,0.4,0.87,36
1/1/2011,21,0.4,0.87,34
1/1/2011,22,0.4,0.94,28
1/1/2011,23,0.46,0.88,39
1/2/2011,0,0.46,0.88,17
1/2/2011,1,0.44,0.94,17
1/2/2011,2,0.42,1,9
1/2/2011,3,0.46,0.94,6
1/2/2011,4,0.46,0.94,3
1/2/2011,6,0.42,0.77,2
1/2/2011,7,0.4,0.76,1
1/2/2011,8,0.4,0.71,8
1/2/2011,9,0.38,0.76,20
1/2/2011,10,0.36,0.81,53
1/2/2011,11,0.36,0.71,70
1/2/2011,12,0.36,0.66,93
1/2/2011,13,0.36,0.66,75
1/2/2011,14,0.36,0.76,59
1/2/2011,15,0.34,0.81,74
1/2/2011,16,0.34,0.71,76
1/2/2011,17,0.34,0.57,65
1/2/2011,18,0.36,0.46,53
1/2/2011,19,0.32,0.42,30
1/2/2011,20,0.3,0.39,22
1/2/2011,21,0.26,0.44,31
1/2/2011,22,0.24,0.44,9
1/2/2011,23,0.22,0.47,8
1/3/2011,0,0.22,0.44,5
1/3/2011,1,0.2,0.44,2
1/3/2011,4,0.16,0.47,1
1/3/2011,5,0.16,0.47,3
1/3/2011,6,0.14,0.5,30
1/3/2011,7,0.14,0.5,64
1/3/2011,8,0.14,0.5,154
1/3/2011,9,0.16,0.43,88
1/3/2011,10,0.18,0.43,44
1/3/2011,11,0.2,0.4,51
1/3/2011,12,0.22,0.35,61
1/3/2011,13,0.24,0.35,61
1/3/2011,14,0.26,0.3,77
1/3/2011,15,0.26,0.3,72
1/3/2011,16,0.26,0.3,76
1/3/2011,17,0.24,0.3,157
1/3/2011,18,0.24,0.32,157
1/3/2011,19,0.2,0.47,110
1/3/2011,20,0.2,0.47,52
1/3/2011,21,0.18,0.64,52
1/3/2011,22,0.14,0.69,20
1/3/2011,23,0.18,0.55,12
1/4/2011,0,0.16,0.55,5
1/4/2011,1,0.16,0.59,2
1/4/2011,2,0.14,0.63,1
1/4/2011,4,0.14,0.63,2
1/4/2011,5,0.12,0.68,4
1/4/2011,6,0.12,0.74,36
1/4/2011,7,0.12,0.74,94
1/4/2011,8,0.14,0.69,179
1/4/2011,9,0.16,0.64,100
1/4/2011,10,0.16,0.69,42
1/4/2011,11,0.22,0.51,57
1/4/2011,12,0.22,0.51,78
1/4/2011,13,0.24,0.56,97
1/4/2011,14,0.26,0.52,63
1/4/2011,15,0.28,0.52,65
1/4/2011,16,0.3,0.49,83
1/4/2011,17,0.28,0.48,212
1/4/2011,18,0.26,0.48,182
1/4/2011,19,0.24,0.48,112
1/4/2011,20,0.24,0.48,54
1/4/2011,21,0.22,0.64,48
1/4/2011,22,0.22,0.64,35
1/4/2011,23,0.2,0.69,11
1/5/2011,0,0.2,0.64,6
1/5/2011,1,0.16,0.74,6
1/5/2011,2,0.16,0.74,2
1/5/2011,4,0.24,0.48,2
1/5/2011,5,0.22,0.47,3
1/5/2011,6,0.2,0.47,33
1/5/2011,7,0.18,0.43,88
1/5/2011,8,0.2,0.4,195
1/5/2011,9,0.22,0.37,115
1/5/2011,10,0.22,0.37,57
1/5/2011,11,0.26,0.33,46
1/5/2011,12,0.26,0.33,79
1/5/2011,13,0.28,0.3,71
1/5/2011,14,0.3,0.28,62
1/5/2011,15,0.3,0.28,62
1/5/2011,16,0.3,0.28,89
1/5/2011,17,0.24,0.38,190
1/5/2011,18,0.24,0.38,169
1/5/2011,19,0.24,0.38,132
1/5/2011,20,0.22,0.47,89
1/5/2011,21,0.2,0.51,43
1/5/2011,22,0.18,0.55,42
1/5/2011,23,0.2,0.47,19
1/6/2011,0,0.18,0.55,11
1/6/2011,1,0.16,0.64,4
1/6/2011,2,0.16,0.64,2
1/6/2011,4,0.16,0.64,1
1/6/2011,5,0.14,0.69,4
1/6/2011,6,0.14,0.63,36
1/6/2011,7,0.16,0.59,95
1/6/2011,8,0.16,0.59,219
1/6/2011,9,0.18,0.51,122
1/6/2011,10,0.2,0.47,45
1/6/2011,11,0.22,0.44,59
1/6/2011,12,0.26,0.35,84
1/6/2011,13,0.26,0.35,67
1/6/2011,14,0.28,0.36,70
1/6/2011,15,0.28,0.36,62
1/6/2011,16,0.26,0.38,86
1/6/2011,17,0.22,0.51,172
1/6/2011,18,0.22,0.51,163
1/6/2011,19,0.22,0.55,112
