instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,1/1/2012,1,1,1,0,0,0,0,1,0.36,0.3788,0.66,0,5,43,48
2,1/1/2012,1,1,1,1,0,0,0,1,0.36,0.3485,0.66,0.1343,15,78,93
3,1/1/2012,1,1,1,2,0,0,0,1,0.32,0.3485,0.76,0,16,59,75
4,1/1/2012,1,1,1,3,0,0,0,1,0.3,0.3333,0.81,0,11,41,52
5,1/1/2012,1,1,1,4,0,0,0,1,0.28,0.303,0.81,0.0896,0,8,8
6,1/1/2012,1,1,1,5,0,0,0,1,0.28,0.2879,0.81,0.1045,0,5,5
7,1/1/2012,1,1,1,6,0,0,0,1,0.26,0.2727,0.93,0.1343,1,1,2
8,1/1/2012,1,1,1,7,0,0,0,1,0.26,0.2576,0.93,0.1642,1,6,7
9,1/1/2012,1,1,1,8,0,0,0,1,0.26,0.2727,0.87,0.1045,4,10,14
10,1/1/2012,1,1,1,9,0,0,0,1,0.26,0.2727,0.93,0.1045,13,27,40
11,1/1/2012,1,1,1,10,0,0,0,1,0.3,0.3182,0.81,0.1045,18,52,70
12,1/1/2012,1,1,1,11,0,0,0,1,0.34,0.3333,0.76,0.1343,40,98,138
13,1/1/2012,1,1,1,12,0,0,0,1,0.4,0.4091,0.62,0.2836,58,143,201
14,1/1/2012,1,1,1,13,0,0,0,1,0.42,0.4242,0.58,0.2836,82,141,223
15,1/1/2012,1,1,1,14,0,0,0,1,0.44,0.4394,0.54,0.2985,120,147,267
16,1/1/2012,1,1,1,15,0,0,0,1,0.46,0.4545,0.51,0.2985,101,164,265
17,1/1/2012,1,1,1,16,0,0,0,2,0.44,0.4394,0.54,0.2985,68,147,215
18,1/1/2012,1,1,1,17,0,0,0,2,0.48,0.4697,0.48,0.1642,36,75,111
19,1/1/2012,1,1,1,18,0,0,0,3,0.46,0.4545,0.59,0.2537,25,81,106
20,1/1/2012,1,1,1,19,0,0,0,3,0.42,0.4242,0.67,0.3881,20,85,105
21,1/1/2012,1,1,1,20,0,0,0,2,0.44,0.4394,0.62,0.2985,25,58,83
22,1/1/2012,1,1,1,21,0,0,0,2,0.44,0.4394,0.67,0.2537,10,61,71
23,1/1/2012,1,1,1,22,0,0,0,1,0.46,0.4545,0.55,0.4179,13,53,66
24,1/1/2012,1,1,1,23,0,0,0,1,0.44,0.4394,0.51,0.2985,4,25,29
25,1/2/2012,1,1,1,0,1,1,0,1,0.4,0.4091,0.4,0.4627,8,31,39
26,1/2/2012,1,1,1,1,1,1,0,1,0.36,0.3333,0.43,0.4179,1,11,12
27,1/2/2012,1,1,1,2,1,1,0,1,0.36,0.3182,0.34,0.4478,1,6,7
28,1/2/2012,1,1,1,4,1,1,0,1,0.28,0.2576,0.45,0.3284,0,4,4
29,1/2/2012,1,1,1,5,1,1,0,1,0.28,0.2576,0.45,0.3284,1,3,4
30,1/2/2012,1,1,1,6,1,1,0,1,0.26,0.2273,0.41,0.3881,0,14,14
31,1/2/2012,1,1,1,7,1,1,0,1,0.24,0.2121,0.32,0.3881,0,16,16
32,1/2/2012,1,1,1,8,1,1,0,1,0.24,0.2273,0.35,0.2537,2,51,53
33,1/2/2012,1,1,1,9,1,1,0,1,0.24,0.2576,0.35,0,15,53,68
34,1/2/2012,1,1,1,10,1,1,0,1,0.26,0.2424,0.35,0.2836,20,89,109
35,1/2/2012,1,1,1,11,1,1,0,1,0.26,0.2121,0.35,0.4925,33,142,175
36,1/2/2012,1,1,1,12,1,1,0,1,0.28,0.2727,0.36,0.2537,41,161,202
37,1/2/2012,1,1,1,13,1,1,0,1,0.3,0.2727,0.36,0.2985,26,150,176
38,1/2/2012,1,1,1,14,1,1,0,1,0.3,0.2727,0.36,0.4179,10,141,151
39,1/2/2012,1,1,1,15,1,1,0,1,0.28,0.2424,0.38,0.4478,29,139,168
40,1/2/2012,1,1,1,16,1,1,0,1,0.26,0.2273,0.35,0.4179,10,144,154
41,1/2/2012,1,1,1,17,1,1,0,1,0.26,0.2273,0.35,0.3881,17,136,153
42,1/2/2012,1,1,1,18,1,1,0,1,0.26,0.2424,0.33,0.2537,13,113,126
43,1/2/2012,1,1,1,19,1,1,0,1,0.24,0.2273,0.38,0.2239,4,89,93
44,1/2/2012,1,1,1,20,1,1,0,1,0.24,0.2273,0.41,0.2239,5,83,88
45,1/2/2012,1,1,1,21,1,1,0,2,0.24,0.2121,0.41,0.3284,3,63,66
46,1/2/2012,1,1,1,22,1,1,0,2,0.22,0.2121,0.44,0.2836,3,36,39
47,1/2/2012,1,1,1,23,1,1,0,1,0.22,0.2121,0.44,0.2537,2,32,34
48,1/3/2012,1,1,1,0,0,2,1,1,0.2,0.197,0.51,0.2537,0,13,13
49,1/3/2012,1,1,1,1,0,2,1,1,0.18,0.1818,0.55,0.2239,1,5,6
50,1/3/2012,1,1,1,2,0,2,1,1,0.18,0.1667,0.51,0.2537,0,3,3
51,1/3/2012,1,1,1,3,0,2,1,1,0.16,0.1364,0.55,0.2836,0,2,2
52,1/3/2012,1,1,1,4,0,2,1,1,0.16,0.1515,0.55,0.2537,0,5,5
53,1/3/2012,1,1,1,5,0,2,1,1,0.14,0.1364,0.54,0.194,0,12,12
54,1/3/2012,1,1,1,6,0,2,1,1,0.14,0.1212,0.59,0.2836,4,81,85
55,1/3/2012,1,1,1,7,0,2,1,1,0.14,0.1212,0.59,0.2537,2,168,170
56,1/3/2012,1,1,1,8,0,2,1,1,0.16,0.1364,0.55,0.2836,5,349,354
57,1/3/2012,1,1,1,9,0,2,1,1,0.16,0.1364,0.5,0.2836,8,145,153
58,1/3/2012,1,1,1,10,0,2,1,1,0.16,0.1212,0.47,0.4627,5,55,60
59,1/3/2012,1,1,1,11,0,2,1,1,0.18,0.1364,0.37,0.5224,12,63,75
60,1/3/2012,1,1,1,12,0,2,1,1,0.18,0.1364,0.37,0.5224,4,70,74
61,1/3/2012,1,1,1,13,0,2,1,1,0.18,0.1212,0.34,0.6567,5,68,73
62,1/3/2012,1,1,1,14,0,2,1,1,0.16,0.1212,0.43,0.5224,7,72,79
63,1/3/2012,1,1,1,15,0,2,1,1,0.16,0.1212,0.37,0.4179,9,68,77
64,1/3/2012,1,1,1,16,0,2,1,1,0.14,0.0909,0.39,0.5821,7,129,136
65,1/3/2012,1,1,1,17,0,2,1,1,0.14,0.1061,0.26,0.4627,4,241,245
66,1/3/2012,1,1,1,18,0,2,1,1,0.14,0.0909,0.26,0.5224,10,214,224
67,1/3/2012,1,1,1,19,0,2,1,1,0.12,0.0909,0.28,0.4179,4,152,156
68,1/3/2012,1,1,1,20,0,2,1,1,0.12,0.1212,0.33,0.2537,0,115,115
69,1/3/2012,1,1,1,21,0,2,1,1,0.1,0.1061,0.36,0.2239,2,66,68
70,1/3/2012,1,1,1,22,0,2,1,1,0.1,0.1061,0.46,0.2537,0,33,33
71,1/3/2012,1,1,1,23,0,2,1,1,0.1,0.0758,0.46,0.3881,0,18,18
72,1/4/2012,1,1,1,0,0,3,1,1,0.08,0.0606,0.42,0.3284,0,9,9
73,1/4/2012,1,1,1,1,0,3,1,1,0.04,0.0303,0.38,0.2985,0,3,3
74,1/4/2012,1,1,1,2,0,3,1,1,0.02,0.0152,0.34,0.2836,0,1,1
75,1/4/2012,1,1,1,3,0,3,1,1,0.02,0.0152,0.34,0.2836,0,1,1
76,1/4/2012,1,1,1,4,0,3,1,1,0.02,0.0455,0.41,0.194,0,2,2
77,1/4/2012,1,1,1,5,0,3,1,1,0.02,0.0455,0.41,0.194,0,14,14
78,1/4/2012,1,1,1,6,0,3,1,1,0.02,0.0455,0.41,0.1642,0,59,59
79,1/4/2012,1,1,1,7,0,3,1,1,0.02,0.0455,0.44,0.194,1,151,152
80,1/4/2012,1,1,1,8,0,3,1,1,0.02,0.0606,0.44,0.1343,5,310,315
81,1/4/2012,1,1,1,9,0,3,1,1,0.04,0.0606,0.45,0.1343,7,173,180
82,1/4/2012,1,1,1,10,0,3,1,1,0.06,0.1061,0.45,0,7,57,64
83,1/4/2012,1,1,1,11,0,3,1,2,0.08,0.1212,0.42,0.0896,6,40,46
84,1/4/2012,1,1,1,12,0,3,1,2,0.1,0.1061,0.46,0.194,9,75,84
85,1/4/2012,1,1,1,13,0,3,1,2,0.14,0.1212,0.43,0.2537,9,82,91
86,1/4/2012,1,1,1,14,0,3,1,2,0.14,0.1212,0.46,0.2537,6,69,75
87,1/4/2012,1,1,1,15,0,3,1,2,0.18,0.1515,0.37,0.3284,9,81,90
88,1/4/2012,1,1,1,16,0,3,1,2,0.18,0.1667,0.4,0.2836,8,123,131
89,1/4/2012,1,1,1,17,0,3,1,2,0.2,0.197,0.4,0.194,9,272,281
90,1/4/2012,1,1,1,18,0,3,1,2,0.2,0.2121,0.37,0.1343,9,280,289
91,1/4/2012,1,1,1,19,0,3,1,2,0.2,0.2273,0.4,0.1045,2,182,184
92,1/4/2012,1,1,1,20,0,3,1,2,0.2,0.197,0.4,0.194,2,121,123
93,1/4/2012,1,1,1,21,0,3,1,2,0.2,0.2576,0.44,0,2,88,90
94,1/4/2012,1,1,1,22,0,3,1,2,0.2,0.2273,0.47,0.0896,4,48,52
95,1/4/2012,1,1,1,23,0,3,1,2,0.2,0.2273,0.44,0.1045,0,32,32
96,1/5/2012,1,1,1,0,0,4,1,2,0.22,0.2273,0.47,0.194,1,13,14
97,1/5/2012,1,1,1,1,0,4,1,1,0.2,0.2273,0.51,0.0896,0,5,5
98,1/5/2012,1,1,1,2,0,4,1,1,0.2,0.2273,0.51,0.0896,0,4,4
99,1/5/2012,1,1,1,3,0,4,1,1,0.2,0.2576,0.61,0,0,4,4
100,1/5/2012,1,1,1,4,0,4,1,2,0.2,0.2273,0.59,0.0896,0,5,5
101,1/5/2012,1,1,1,5,0,4,1,2,0.2,0.2273,0.59,0.0896,0,26,26
102,1/5/2012,1,1,1,6,0,4,1,2,0.2,0.2121,0.75,0.1343,0,78,78
103,1/5/2012,1,1,1,7,0,4,1,2,0.2,0.2273,0.69,0.0896,3,212,215
104,1/5/2012,1,1,1,8,0,4,1,2,0.2,0.2576,0.75,0,11,377,388
105,1/5/2012,1,1,1,9,0,4,1,2,0.22,0.2727,0.69,0,7,220,227
106,1/5/2012,1,1,1,10,0,4,1,2,0.24,0.2576,0.52,0.0896,5,81,86
107,1/5/2012,1,1,1,11,0,4,1,1,0.3,0.3333,0.49,0,6,78,84
108,1/5/2012,1,1,1,12,0,4,1,1,0.3,0.2879,0.49,0.2537,6,114,120
109,1/5/2012,1,1,1,13,0,4,1,1,0.34,0.303,0.42,0.2985,6,112,118
110,1/5/2012,1,1,1,14,0,4,1,1,0.34,0.3182,0.39,0.2836,13,104,117
111,1/5/2012,1,1,1,15,0,4,1,1,0.36,0.3333,0.34,0.2836,6,113,119
112,1/5/2012,1,1,1,16,0,4,1,1,0.36,0.3333,0.34,0.2836,19,178,197
113,1/5/2012,1,1,1,17,0,4,1,2,0.36,0.3485,0.34,0.194,19,393,412
114,1/5/2012,1,1,1,18,0,4,1,1,0.34,0.3333,0.36,0.1642,9,374,383
115,1/5/2012,1,1,1,19,0,4,1,1,0.34,0.3485,0.34,0.0896,10,255,265
116,1/5/2012,1,1,1,20,0,4,1,1,0.3,0.3333,0.49,0,5,172,177
117,1/5/2012,1,1,1,21,0,4,1,1,0.26,0.2727,0.6,0.1343,9,88,97
118,1/5/2012,1,1,1,22,0,4,1,1,0.26,0.2576,0.6,0.1642,1,70,71
119,1/5/2012,1,1,1,23,0,4,1,1,0.24,0.2576,0.7,0.1045,4,56,60
120,1/6/2012,1,1,1,0,0,5,1,1,0.22,0.2576,0.75,0.0896,1,24,25
121,1/6/2012,1,1,1,1,0,5,1,1,0.22,0.2727,0.75,0,2,6,8
122,1/6/2012,1,1,1,2,0,5,1,1,0.22,0.2273,0.69,0.1642,2,3,5
123,1/6/2012,1,1,1,3,0,5,1,1,0.22,0.2424,0.69,0.1045,1,3,4
124,1/6/2012,1,1,1,4,0,5,1,1,0.22,0.2273,0.69,0.1343,0,3,3
125,1/6/2012,1,1,1,5,0,5,1,2,0.2,0.2121,0.8,0.1343,0,13,13
126,1/6/2012,1,1,1,6,0,5,1,2,0.22,0.2424,0.73,0.1045,1,69,70
