,instant,season,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,BusiestSta
0,1.0,1.0,1.0,0.0,6.0,0.0,2.0,0.344167,0.363625,0.805833,0.160446,31228
1,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.363478,0.35373899999999997,0.696087,0.24853899999999998,31602
2,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.196364,0.189405,0.43727299999999997,0.248309,31101
3,4.0,1.0,1.0,0.0,2.0,1.0,1.0,0.2,0.21212199999999998,0.590435,0.160296,31101
4,5.0,1.0,1.0,0.0,3.0,1.0,1.0,0.22695700000000002,0.22926999999999997,0.436957,0.1869,31104
5,6.0,1.0,1.0,0.0,4.0,1.0,1.0,0.204348,0.23320900000000003,0.518261,0.0895652,31101
6,7.0,1.0,1.0,0.0,5.0,1.0,2.0,0.196522,0.208839,0.49869600000000003,0.168726,31104
7,8.0,1.0,1.0,0.0,6.0,0.0,2.0,0.165,0.162254,0.535833,0.266804,31104
8,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.13833299999999998,0.116175,0.434167,0.36195,31201
9,10.0,1.0,1.0,0.0,1.0,1.0,1.0,0.150833,0.15088800000000002,0.482917,0.22326700000000002,31200
10,11.0,1.0,1.0,0.0,2.0,1.0,2.0,0.16909100000000002,0.19146400000000002,0.6863640000000001,0.12213199999999999,31101
11,12.0,1.0,1.0,0.0,3.0,1.0,1.0,0.172727,0.160473,0.599545,0.304627,31200
12,13.0,1.0,1.0,0.0,4.0,1.0,1.0,0.165,0.150883,0.47041700000000003,0.301,31101
13,14.0,1.0,1.0,0.0,5.0,1.0,1.0,0.16087,0.188413,0.537826,0.126548,31104
14,15.0,1.0,1.0,0.0,6.0,0.0,2.0,0.23333299999999998,0.248112,0.49875,0.15796300000000002,31200
15,16.0,1.0,1.0,0.0,0.0,0.0,1.0,0.231667,0.234217,0.48375,0.188433,31104
16,17.0,1.0,1.0,1.0,1.0,0.0,2.0,0.175833,0.176771,0.5375,0.194017,31200
17,18.0,1.0,1.0,0.0,2.0,1.0,2.0,0.216667,0.23233299999999998,0.861667,0.146775,31200
18,19.0,1.0,1.0,0.0,3.0,1.0,2.0,0.292174,0.29842199999999997,0.741739,0.208317,31101
19,20.0,1.0,1.0,0.0,4.0,1.0,2.0,0.261667,0.25505,0.538333,0.195904,31200
20,21.0,1.0,1.0,0.0,5.0,1.0,1.0,0.1775,0.157833,0.457083,0.353242,31200
21,22.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0591304,0.0790696,0.4,0.17197,31104
22,23.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0965217,0.09883910000000001,0.436522,0.2466,31200
23,24.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0973913,0.11793,0.49173900000000004,0.15833,31110
24,25.0,1.0,1.0,0.0,2.0,1.0,2.0,0.223478,0.234526,0.616957,0.129796,31110
25,26.0,1.0,1.0,0.0,3.0,1.0,3.0,0.2175,0.2036,0.8625,0.29385,31104
26,27.0,1.0,1.0,0.0,4.0,1.0,1.0,0.195,0.2197,0.6875,0.113837,31200
